news_id|titulo|categoria|resumen|date_id
0|Coronavirus tiene nombre oficial: OMS lo bautiza ‘Covid-19’|Salud|"Nace del acrónimo en inglés a partir de la expresión ""corona virus disease""."|13
1|El Covid-19, una amenaza mundial que deja más de 1.100 muertos|Salud|Según advirtió la Organización Mundial de la Salud, el coronavirus no merma en muertos e infectados.|13
2|Así sería la cuarentena en el país para los colombianos de Wuhan|Salud|Los 14 connacionales que serán evacuados de China serán objeto de rigurosos cuidados.|20
3|No se ha confirmado ningún caso de coronavirus en Hospital San José|Salud|Directivas del centro hospitalario indicaron que todas las pruebas practicadas han salido negativas.|21
4|Así será la evacuación y llegada de los colombianos en Wuhan|Salud|Ministerio de Salud sostiene que el viaje partirá este sábado hacia China sin contratiempos.|23
5|Preocupación por comportamiento atípico del COVID-19|Salud|La OMS se declaró en alerta por multiplicación de casos de coronavirus fuera de China.|23
6|Los detalles del operativo para evacuar a los colombianos de Wuhan|Gobierno|Un avión 767 de la Fuerza Aérea volará más de 30 horas con varias escalas técnicas|25
7|China autoriza a no residentes sanos en Wuhan a salir de la ciudad|Asia|Quienes estén dentro de los perfiles definidos deberán obtener autorización con expertos sanitarios.|26
8|Las restricciones en terminales aéreas del mundo por el coronavirus|Salud|Algunos países han negado el ingreso de pasajeros que hayan estado los últimos 14 días en China.|26
9|Colombia eleva a moderado el riesgo de que llegue el coronavirus|Salud|“Estamos viendo más cerca la posibilidad de tener casos confirmados de Covid-19”, dijo el Minsalud.|26
10|¿Qué implicaciones tiene una 'eventual pandemia' de coronavirus?|Salud|Director de la OMS planteó la posibilidad de que el Covid-19 sea tratado como una epidemia global.|27
11|Avión que trae a colombianos desde Wuhan llega a Bogotá|Gobierno|El vuelo partió a mediodía desde Madrid, España. Sigue proceso de traslado para la cuarentena.|30
12|Arrancan 14 días de cuarentena en villa deportiva de Bogotá|Salud|Avión que trajo a 35 personas desde Wuhan (China), aterrizó a las 10:37 de la noche.|30
13|Las noticias falsas sobre el coronavirus que circulan en redes|Salud|En #LasFakedelFace rastreamos y verificamos algunas cadenas que circulan en colombia sobre el virus.|30
14|OMS declara como 'muy alta' la amenaza internacional de coronavirus|Salud|Mientras los casos en China disminuyen, en Europa y Asia aumentan rápidamente, indicó el organismo.|30
15|Colombianos que regresaron de Wuhan dieron negativo para coronavirus|Salud|Los repatriados y el personal que los trajo de China no presentan síntomas, confirmó el INS.|31
16|La cumbia viral de coronavirus que todos deben escuchar y aplicar|Salud|Se hizo tendencia una canción que además de pegajosa es un buen instructivo de autocuidado.|33
17|Colombia eleva a alto el riesgo de que el coronavirus llegue|Salud|Casos en dos países vecinos llevaron al Ministerio de Salud a tomar esta decisión.|33
18|Casa de Nariño descarta que Duque haya contraído coronavirus|Salud|Al mandatario le fue realizada la prueba de manera preventiva tras un evento al que fue en EE. UU.|36
19|Lo que se sabe sobre la primera paciente del coronavirus en Colombia|Salud|La mujer tiene 19 años y llegó al país el 26 de febrero procedente de Italia.|37
20|Las verdades del coronavirus para no entrar en pánico|Salud|No se asuste más de la cuenta y tome atenta nota de estas recomendaciones.|38
21|Se confirma el primer caso de coronavirus en Colombia|Salud|La primera persona con coronavirus en el país es una mujer de 19 años que llegó desde Italia.|38
22|Así es como Colombia atenderá y manejará los contagios de coronavirus|Salud|El presidente Duque y las autoridades sanitarias explicaron los protocolos que se implementarán.|40
23|Hospitalizan a paciente con coronavirus de Buga|Salud|Este lunes, el Ministerio de Salud confirmó dos nuevos casos, uno en Medellín y otro en Buga.|40
24|Los pasos que debe seguir si cree que está contagiado con coronavirus|Salud|Hay líneas de atención y hasta una app habilitadas para que pida o de información.|40
25|CoronApp - Colombia: ¿Cómo usar la aplicación sobre el coronavirus?|Apps|El Gobierno Nacional dio a conocer la nueva plataforma informativa para prevenir el contagio.|41
26|En vivo: Segunda muerte por coronavirus registrada en Latinoamérica|Salud|Siga en directo las últimas noticias del covid-19 en Colombia y el mundo.|41
27|Son seis los nuevos casos confirmados de coronavirus en Colombia|Salud|Minsalud confirmó dos en Bogotá, uno en Cartagena y tres en Medellín. Ya son nueve casos en total.|42
28|Coronavirus: movimiento ‘viral’ busca que todos nos quedemos en casa|Salud|#StayTheFuckHome expone doce acciones para prevenir la que fue considerada por la OMS como pandemia.|42
29|Atención: la OMS declara pandemia por el nuevo coronavirus|Salud|El número de casos y de muertes a lo largo del mundo llevó al organismo a hacer la declaración.|42
30|Según la OMS, la pandemia del coronavirus todavía es controlable|Salud|Para ello es necesario que autoridades mundiales tomen en serio la situación, agregó la entidad.|43
31|Colombianos de Wuhan terminan su cuarentena sin rastros de coronavirus|Salud|Completaron 14 días de aislamiento y regresarán a sus hogares en Colombia, informó Minsalud.|43
32|Minsalud confirma seis casos nuevos de coronavirus en Colombia|Salud|En total, ya son 22 las personas contagiadas con el covid-19.|45
33|Covid-19: máxima prueba para el sistema de salud|Salud|Se trata de un gran reto para las estructuras sanitarias del mundo y para la población en general.|45
34|Lo que sirve y lo que no contra la covid-19|Salud|Las medidas de prevención contra el virus y otros que ya circulan comienzan por el autocuidado.|46
35|Sube a 34 número de casos de coronavirus en Colombia|Salud|Diez nuevos pacientes dieron positivo para Covid-19, informó el Ministerio de Salud.|46
36|Coronavirus: medidas drásticas y tempranas, la mejor vacuna|Salud|Restricciones de viajes, el distanciamiento social y las cuarentenas sirven para frenar el virus.|46
37|Descargue aquí la guía de prevención contra el coronavirus|Salud|Sepa qué hacer en casa, en el trabajo, con los ancianos y con las personas enfermas con covid-19.|47
38|Suben los casos de coronavirus en Colombia: ya son 54|Salud|Se reportan nueve casos nuevos de covid-19. Todos en Bogotá.|47
39|Mejora el estado de salud de estadounidense con covid-19 en Cartagena|Salud|La clínica en la permanece interna reportó que lleva más de tres días sin fiebre.|47
40|Limitan eventos de más de 50 personas en todo el país por coronavirus|Salud|Se ordena también el cierre de todos los bares y discotecas: Ministerio de Salud.|47
41|Colombia suma tres nuevos casos de coronavirus|Salud|El Instituto Nacional de Salud acaba de confirmar que los nuevos pacientes están en Bogotá.|47
42|Gremios de la salud le piden a Duque cuarentena total en Colombia|Salud|Afirman que se necesitan medidas más drásticas ante el desborde de casos confirmados.|48
43|Aumentan casos de coronavirus en el país: ya son 65|Salud|Hay incremento de ocho pacientes, según Minsalud. Se registran casos en dos nuevas ciudades.|48
44|China dice que encontró un medicamento 'eficiente' contra el covid-19|Salud|Favipiravir no ha mostrado reacciones adversas en las pruebas clínicas que se han realizado.|48
45|'Me siento como un bicho raro': habla colombiana con coronavirus|Salud|EL TIEMPO conversó con Mariana Gómez, la única afectada por el Covid-19 que ha dado la cara al país.|48
46|Confirman 10 nuevos casos de covid-19 en Colombia: ya son 75 en total|Salud|El anuncio lo hizo el Ministerio de Salud. Hay 40 contagiados en Bogotá.|48
47|Embarazo en tiempos de coronavirus, ¿hay riesgo?|Salud|Las mujeres en estado de gestación pueden estar tranquilas, dicen las autoridades de salud.|49
48|Se registran más casos de coronavirus en el país: van 93 pacientes|Salud|Así lo informó el Ministerio de Salud. Aumenta la cifra con 18 casos nuevos.|49
49|¡Atención! Colombia alcanza los 102 casos de coronavirus|Salud|El último reporte del Minsalud indica que en Bogotá se registran 45. Conozca más detalles.|49
50|Cruz Roja Colombiana invita a donar sangre|Salud|La entidad proporciona el 14 % de sangre en todo el país y es importante mantener las reservas.|50
51|OMS alerta por aceleración de pandemia: se doblan casos en 12 días|Salud|Países con problemas para realizar pruebas masivas pueden podrán solicitar ayuda al organismo.|51
52|Número de casos confirmados de coronavirus en Colombia sube a 128|Salud|Se registran 20 casos nuevos. De momento, se desconoce la cadena de transmisión de dos de ellos.|51
53|Nueva cifra de coronavirus en el país: ya son 145 pacientes|Salud|En la cifra revelada este viernes por el Ministerio de Salud hay 17 casos nuevos.|51
54|Aumentan los casos de coronavirus en Colombia: ya son 158|Salud|Tras el más reciente informe, Bogotá registra 65 pacientes.|51
55|Atención: Colombia entrará a cuarentena total|Salud|Desde el miércoles y durante 19 días el país estará en aislamiento, anunció el presidente Duque.|51
56|‘Tenemos la oportunidad de quitarle velocidad al coronavirus’: Duque|Gobierno|El presidente anunció en la noche de este viernes la medida de cuarentena en todo el país.|52
57|Sube a 196 el número de casos confirmados de coronavirus en Colombia|Salud|Según reporte del ministerio de Salud, se registraron 38 casos de nuevos de covid-19 en el país.|52
58|Las EPS e IPS deberán garantizar la toma de muestras de Covid-19|Salud|Según Minsalud, prestadores del servicio deben tener una línea de atención exclusiva para Covid-19.|52
59|Los líos con las pruebas diagnósticas|Salud|Colombia ha hecho más de 5.000 pruebas de coronavirus, es decir, 81,7 por millón de habitantes.|52
60|Se confirma la primera muerte en Colombia por coronavirus|Salud|Se trata de un hombre de 58 años que trabajaba como taxista en Cartagena.|52
61|El país aplicará el mejor antídoto contra el coronavirus|Salud|Aislamiento preventivo general es probablemente el desafío más grande que haya enfrentado Colombia.|52
62|‘Vivimos una guerra sin balas, tenemos que valorar las cosas'|Salud|Rodrigo Córdoba, psiquiatra, da consejos para salud mental en días de aislamiento e incertidumbre.|52
63|Lo que se sabe de la segunda muerte por coronavirus en Colombia|Salud|Ministerio de Salud confirmó el fallecimiento de una persona en Cali. Ya son 231 casos en el país.|53
64|Se confirma segunda muerte por coronavirus en Colombia|Salud|El reporte más reciente del ministerio de Salud da cuenta, además, de 21 casos nuevos en el país.|53
65|No van a lanzar desinfectantes desde helicópteros por coronavirus|Salud|No crea en la información que está circulando por redes sociales sobre este tema.|53
66|Confirman nuevos casos de coronavirus en Colombia: ya son 235|Salud|El Ministerio de Salud informó que se diagnosticaron cuatro nuevos pacientes en el país.|54
67|Confirman tercera muerte por coronavirus en Colombia|Salud|Minsalud informó que se trata de un hombre de 88 años en la ciudad de Santa Marta.|54
68|Cifra de casos confirmados de coronavirus en Colombia sube a 277|Salud|El reporte más reciente de Minsalud da cuenta de 42 casos nuevos y de cinco pacientes recuperados.|54
69|Sube a 306 el número de casos de coronavirus en Colombia|Salud|Hasta ahora se han recuperado 6 pacientes de covid-19 en el país. No se reportaron nuevas muertes.|54
70|Ya son 378 los casos de contagio por Coronavirus en Colombia|Salud|Ministerio de salud reportó este martes un aumento de 72 pacientes.|56
71|Las lecciones que dejan las tres muertes por covid-19 en el país|Salud|Los tres adultos que han fallecido plantean aprendizajes de cara a los próximos días.|56
72|Cuarta muerte por coronavirus en el país; Colombia llega a 470 casos|Salud|El fallecimiento se registró en Bogotá. Ministerio de Salud señaló que se reportan 92 casos nuevos.|56
73|Detección de casos, prioridad en estrategia contra el covid-19|Salud|Ministerio de Salud anunció 350.000 pruebas semanales en nueva medida para mejorar diagnósticos.|56
74|Fuerte rechazo de médicos a convalidación exprés de títulos|Salud|El Gobierno prepara un decreto que flexibiliza requisitos en medio de emergencia por la covid-19.|56
75|Dos muertes por covid-19 en Bogotá; cifra de contagiados aumenta a 491|Salud|Este jueves se reportaron 21 casos de contagio nuevos, informó el Ministerio de Salud.|57
76|Lo que debo tener en cuenta al salir y entrar de casa por la covid-19|Salud|Quitarse los zapatos y cambiarse la ropa al llegar, entre las recomendaciones.|57
77|Académicos y gremios piden reorientar estrategias frente a covid-19|Salud|En una carta abierta, los más de 85 firmantes instan a Duque a tomar medidas más drásticas.|57
78|La dura realidad de los médicos colombianos frente a la pandemia|Salud|Precarias condiciones laborales, miedos y desprotección chocan con posible colapso del sistema.|58
79|Coronavirus: ya son 539 casos de contagio en Colombia|Salud|Según el nuevo reporte del Ministerio de Salud, se contabilizaron 48 pacientes nuevos.|58
