tweet_id|text|date_id
0| minsaludcol  inscolombia  vicecolombia  fruizgomez  supersalud  ungrd  ivanduque  urnadecristal  infopresidencia  mininterior lamentable pero se están cumpliendo las  estimaciones de  infopresidencia  inscolombia al    tendríamos   muertos más por la    o sea  diarios  para un total en el año de   muertes           pgn col  cgr colombia  cmilanoticia   vcalvot  jhonbarrero https   t co |308
1|covid     casos nuevos y  fallecidos en colombia https   t co dvhujquwym  quedateencasa    covid    coronavirus  bioseguridad  colombia  salud  bogota  recuperados  siainforma  sialanoticia  antioquia   gobantioquia   minsaludcol|308
2|colombia profunda n°   la vacuna del  sin garantías https   t co uprqvnwzny|308
3| senorcaicedo  ivanduque no joñe  parece que en colombia la justicia es la que transmite el    |308
4|solo queda conciliación entre cámara y senado en colombia para vacunas gratis contra   https   t co |308
5|rt  siaradio  covid     casos nuevos y  fallecidos en colombia https   t co dvhujquwym  quedateencasa    covid    coronav|308
6|demandan al ministro de salud de  colombia por no exigir prueba de   a los viajeros https   t co |308
7|la  ssaludboyaca da a conocer el informe del  de diciembre  frente a la ocupación hospitalaria y los casos en uci de  boyacá  en lo relacionado con   y otras patologías  además las cifras oficiales en  colombia y en el departamento   quedateencasa  mecuidotecuido https   t co |308
8|rt  lordbacano   senorcaicedo  ivanduque no joñe  parece que en colombia la justicia es la que transmite el    |308
9|rt  epinternacional  demandan al ministro de salud de  colombia por no exigir prueba de   a los viajeros https   t co |308
10|desempleo urbano en colombia alcanza un    en octubre  pensionescolombia  desempleo   https   t co  https   t co cnvndnnsjv|308
11|cases  country   usa    india    brazil    russia    france     spain    uk    italy    argentina    colombia    méxico    germany    poland   iran   peru  |308
12|congreso aprueba proyecto para acceder gratuitamente a la vacuna del covid    actualidad   w radio colombia   amp https   t co |308
13| polonia🇵🇱    españa🇪🇸    francia🇫🇷    argentina🇦🇷    serbia🇷🇸    colombia🇨🇴    méxico🇲🇽    indonesia🇮🇩    canadá🇨🇦    azerbaiján🇦🇿       covid |308
14|rt  datos corona   polonia🇵🇱    españa🇪🇸    francia🇫🇷    argentina🇦🇷    serbia🇷🇸    colombia🇨🇴    méx|308
15| irán🇮🇷   méxico🇲🇽   ucrania🇺🇦   rumania🇷🇴   argentina🇦🇷   turquía🇹🇷   colombia🇨🇴   hungría🇭🇺   bulgaria🇧🇬   austria🇦🇹      covid |308
16| almagro  almagro así q vzla vulnerable por    y que me dices sobre eso en usa  colombia  brasil  ecuador  chile y ahora tu uruguay   solo te interesa dar golpes de estados contra los q no te dan plata para darte la buena vida y si hablar mi  da  lávate la boca cochino para hablar  |308
17|quienes van en diciembre para  colombia  no necesitan presentar la prueba  pcr  pues el ministro de salud  fernando ruiz gómez  sigue en su posición de que eso no sirve para controlar el  coronavirus    y que el demandante no tiene argumentos sólidos https   t co zwxxvmfodm|308
18|quienes van en diciembre para  colombia  no necesitan presentar la prueba  pcr  pues el ministro de salud  fernando ruiz gómez  sigue en su posición de que eso no sirve para controlar el  coronavirus    y que el demandante no tiene argumentos  https   t co |308
19|quienes van en diciembre para  colombia  no necesitan presentar la prueba  pcr  pues el ministro de salud  fernando ruiz gómez  sigue en su posición de que eso no sirve para controlar el  coronavirus    y que el demandante no tiene argumentos   https   t co |308
20|quienes van en diciembre para  colombia  no necesitan presentar la prueba  pcr  pues el ministro de salud  fernando ruiz gómez  sigue en su posición de que eso no sirve para controlar el  coronavirus    y que el demandante no tiene argumentos  https   t co |308
21|quienes van en diciembre para  colombia  no necesitan presentar la prueba  pcr  pues el ministro de salud  fernando ruiz gómez  sigue en su posición de que eso no sirve para controlar el  coronavirus    y que el demandante no tiene argumentos   https   t co |308
22|rt    estas alucinaciones de betty son las mejores jaja  bettylafea  losfeossomosmas  colombia  bogota  medellin  novelas  t|308
23|quienes van en diciembre para  colombia  no necesitan presentar la prueba  pcr  pues el ministro de salud  fernando ruiz gómez  sigue en su posición de que eso no sirve para controlar el  coronavirus    y que el demandante no tiene argumentos   https   t co coatssujrq|308
24|rt    jaja lo mejor  de colombia betty 😍😍😍🇨🇴🇨🇴 bettylafea  losfeossomosmas  escamoso  pasiondegavilanes  colombia    |308
25|quienes van en diciembre para  colombia  no necesitan presentar la prueba  pcr  pues el ministro de salud  fernando ruiz gómez  sigue en su posición de que eso no sirve para controlar el  coronavirus    y que el demandante no tiene argumentos   https   t co |308
26|quienes van en diciembre para  colombia  no necesitan presentar la prueba  pcr  pues el ministro de salud  fernando ruiz gómez  sigue en su posición de que eso no sirve para controlar el  coronavirus    y que el demandante no tiene argumentos  https   t co |308
27|quienes van en diciembre para  colombia  no necesitan presentar la prueba  pcr  pues el ministro de salud  fernando ruiz gómez  sigue en su posición de que eso no sirve para controlar el  coronavirus    y que el demandante no tiene argumentos   https   t co |308
28|quienes van en diciembre para  colombia  no necesitan presentar la prueba  pcr  pues el ministro de salud  fernando ruiz gómez  sigue en su posición de que eso no sirve para controlar el  coronavirus    y que el demandante no tiene argumentos   https   t co |308
29|quienes van en diciembre para  colombia  no necesitan presentar la prueba  pcr  pues el ministro de salud  fernando ruiz gómez  sigue en su posición de que eso no sirve para controlar el  coronavirus    y que el demandante no tiene argumentos  https   t co |308
30|el covid y la situación de las fronteras se analizaron en gabinete de seguridad  elcomerciocom  ecuador link https   t co   perú  ecuador  seguridad  colombia  inseguridad  fronteras  ministerio de defensa   https   t co |308
